Complaint_id,Subscriber_id,Complaint_date,Resolution_date,description,Complaint_type
CMP005383,SUB044258,2021-04-16 13:25:47,2021-04-19 11:55:01,Customer reported: Poor network coverage. Issue observed in Jabalpur area. Ticket escalated to Level 2 support.,Poor network coverage
CMP005384,SUB043115,2024-06-01 16:51:23,2024-06-03 10:33:00,Customer reported: OTP not received. Issue observed in Junagadh area. Ticket escalated to Level 2 support.,OTP not received
CMP005385,SUB039505,2022-06-23 10:28:35,2022-06-28 07:36:01,Customer reported: Customer service complaint. Issue observed in Howrah area. Ticket escalated to Level 3 support.,Customer service complaint
CMP005386,SUB038988,2024-11-30 01:43:48,2024-12-09 13:34:28,Customer reported: Recharge failure. Issue observed in Salem area. Ticket escalated to Level 2 support.,Recharge failure
CMP005387,SUB042522,2021-03-31 22:04:23,2021-04-05 13:40:41,Customer reported: Portability delay. Issue observed in Coimbatore area. Ticket escalated to Level 2 support.,Portability delay
CMP005388,SUB022491,2024-08-21 08:11:44,2024-08-24 12:03:14,Customer reported: Poor network coverage. Issue observed in Noida area. Ticket escalated to Level 2 support.,Poor network coverage
CMP005389,SUB018239,2023-03-12 05:54:58,2023-03-20 04:21:26,Customer reported: Poor network coverage. Issue observed in Junagadh area. Ticket escalated to Level 1 support.,Poor network coverage
CMP005390,SUB001889,2020-07-06 08:57:43,2020-07-16 19:58:32,Customer reported: Voice call quality. Issue observed in Jaipur area. Ticket escalated to Level 2 support.,Voice call quality
CMP005391,SUB037308,2024-12-30 17:21:00,,Customer reported: Portability delay. Issue observed in Asansol area. Ticket escalated to Level 1 support.,Portability delay
CMP005392,SUB041955,2023-12-13 02:36:12,,Customer reported: Customer service complaint. Issue observed in Aurangabad area. Ticket escalated to Level 1 support.,Customer service complaint
CMP005393,SUB007967,2020-05-30 12:51:54,,Customer reported: SIM activation problem. Issue observed in Thane area. Ticket escalated to Level 1 support.,SIM activation problem
CMP005394,SUB016417,2021-02-14 09:10:31,2021-02-20 07:39:14,Customer reported: Portability delay. Issue observed in Pune area. Ticket escalated to Level 3 support.,Portability delay
CMP005395,SUB010309,2021-03-13 12:41:09,2021-03-22 19:57:16,Customer reported: Number portability. Issue observed in Mangalore area. Ticket escalated to Level 2 support.,Number portability
CMP005396,SUB032086,2021-02-05 18:59:20,2021-02-07 01:04:45,Customer reported: Customer service complaint. Issue observed in Gandhinagar area. Ticket escalated to Level 3 support.,Customer service complaint
CMP005397,SUB028685,2020-10-11 13:13:25,2020-10-18 22:31:12,Customer reported: Portability delay. Issue observed in Visakhapatnam area. Ticket escalated to Level 2 support.,Portability delay
CMP005398,SUB018681,2021-04-12 12:00:33,2021-04-22 22:37:32,Customer reported: Number portability. Issue observed in Aurangabad area. Ticket escalated to Level 3 support.,Number portability
CMP005399,SUB027765,2024-03-24 21:43:51,2024-04-03 03:44:11,Customer reported: Recharge failure. Issue observed in Bellary area. Ticket escalated to Level 3 support.,Recharge failure
CMP005400,SUB011537,2024-12-26 12:46:16,,Customer reported: Data not credited. Issue observed in Tiruchirappalli area. Ticket escalated to Level 2 support.,Data not credited
CMP005401,SUB028549,2021-10-04 18:46:52,2021-10-18 17:57:25,Customer reported: Wrong deduction. Issue observed in Agra area. Ticket escalated to Level 2 support.,Wrong deduction
CMP005402,SUB007180,2024-11-27 13:49:31,2024-12-07 13:26:48,Customer reported: Customer service complaint. Issue observed in Ujjain area. Ticket escalated to Level 3 support.,Customer service complaint
CMP005403,SUB007964,2023-06-19 12:52:47,2023-06-25 15:46:25,Customer reported: SIM activation problem. Issue observed in Visakhapatnam area. Ticket escalated to Level 2 support.,SIM activation problem
CMP005404,SUB013428,2024-12-08 11:45:55,2024-12-16 21:35:51,Customer reported: Data not credited. Issue observed in Meerut area. Ticket escalated to Level 1 support.,Data not credited
CMP005405,SUB039803,2024-05-02 05:11:06,2024-05-11 02:11:57,Customer reported: Voice call quality. Issue observed in Jaipur area. Ticket escalated to Level 3 support.,Voice call quality
CMP005406,SUB019614,2021-03-26 02:02:31,2021-03-28 17:00:58,Customer reported: Call drops. Issue observed in Jodhpur area. Ticket escalated to Level 1 support.,Call drops
CMP005407,SUB018748,2022-12-26 01:41:08,2023-01-02 14:35:41,Customer reported: Recharge failure. Issue observed in Kota area. Ticket escalated to Level 1 support.,Recharge failure
CMP005408,SUB015614,2020-08-25 05:35:48,,Customer reported: Slow internet speed. Issue observed in Vadodara area. Ticket escalated to Level 2 support.,Slow internet speed
CMP005409,SUB002529,2023-12-03 04:24:15,2023-12-06 03:08:59,Customer reported: Customer service complaint. Issue observed in Bhavnagar area. Ticket escalated to Level 1 support.,Customer service complaint
CMP005410,SUB020421,2018-11-12 16:31:49,2018-11-15 04:55:49,Customer reported: International call problem. Issue observed in Kota area. Ticket escalated to Level 1 support.,International call problem
CMP005411,SUB034024,2024-10-31 16:20:02,2024-11-03 22:35:16,Customer reported: Data not credited. Issue observed in Solapur area. Ticket escalated to Level 3 support.,Data not credited
CMP005412,SUB038118,2020-12-17 06:13:18,2020-12-22 05:42:10,Customer reported: Portability delay. Issue observed in Gwalior area. Ticket escalated to Level 3 support.,Portability delay
CMP005413,SUB043185,2023-07-07 09:41:43,,Customer reported: Poor network coverage. Issue observed in Ahmedabad area. Ticket escalated to Level 3 support.,Poor network coverage
CMP005414,SUB028901,2019-07-06 00:44:53,2019-07-17 00:24:52,Customer reported: International call problem. Issue observed in Ujjain area. Ticket escalated to Level 2 support.,International call problem
CMP005415,SUB024626,2023-07-07 03:44:19,2023-07-14 05:06:44,Customer reported: Wrong deduction. Issue observed in Gurgaon area. Ticket escalated to Level 2 support.,Wrong deduction
CMP005416,SUB030019,2024-09-21 00:40:04,2024-09-23 07:04:56,Customer reported: Billing issue. Issue observed in Madurai area. Ticket escalated to Level 3 support.,Billing issue
CMP005417,SUB021926,2021-11-29 03:00:39,2021-12-06 04:13:51,Customer reported: Customer service complaint. Issue observed in Meerut area. Ticket escalated to Level 3 support.,Customer service complaint
CMP005418,SUB048097,2020-07-31 10:29:16,2020-08-12 15:58:47,Customer reported: Roaming issue. Issue observed in Noida area. Ticket escalated to Level 2 support.,Roaming issue
CMP005419,SUB040747,2024-12-31 00:00:00,,Customer reported: SIM activation problem. Issue observed in Mumbai area. Ticket escalated to Level 2 support.,SIM activation problem
CMP005420,SUB036132,2023-03-02 16:02:17,2023-03-11 04:01:13,Customer reported: Roaming issue. Issue observed in Solapur area. Ticket escalated to Level 1 support.,Roaming issue
CMP005421,SUB002102,2021-09-24 21:04:18,2021-10-08 03:09:39,Customer reported: OTP not received. Issue observed in Jamnagar area. Ticket escalated to Level 3 support.,OTP not received
CMP005422,SUB026111,2020-10-11 02:13:23,,Customer reported: SIM activation problem. Issue observed in Agra area. Ticket escalated to Level 2 support.,SIM activation problem
CMP005423,SUB012900,2024-12-04 08:31:12,2024-12-10 11:56:13,Customer reported: Voice call quality. Issue observed in Bhopal area. Ticket escalated to Level 1 support.,Voice call quality
CMP005424,SUB029716,2023-11-15 04:10:43,2023-11-19 00:23:54,Customer reported: Portability delay. Issue observed in Kolkata area. Ticket escalated to Level 1 support.,Portability delay
CMP005425,SUB044147,2021-02-07 08:42:16,2021-02-20 07:26:21,Customer reported: Portability delay. Issue observed in Ajmer area. Ticket escalated to Level 1 support.,Portability delay
CMP005426,SUB042377,2022-05-29 10:12:50,2022-06-05 19:44:17,Customer reported: OTP not received. Issue observed in Indore area. Ticket escalated to Level 3 support.,OTP not received
CMP005427,SUB001567,2021-09-04 08:05:05,2021-09-08 12:26:04,Customer reported: Roaming issue. Issue observed in Bhopal area. Ticket escalated to Level 1 support.,Roaming issue
CMP005428,SUB003343,2022-11-05 18:06:17,2022-11-15 03:33:53,Customer reported: Slow internet speed. Issue observed in Nagpur area. Ticket escalated to Level 3 support.,Slow internet speed
CMP005429,SUB035829,2024-10-31 16:10:03,2024-11-13 18:34:00,Customer reported: Poor network coverage. Issue observed in Rajkot area. Ticket escalated to Level 3 support.,Poor network coverage
CMP005430,SUB039234,2023-05-05 02:31:05,2023-05-08 07:38:43,Customer reported: SIM activation problem. Issue observed in Salem area. Ticket escalated to Level 2 support.,SIM activation problem
CMP005431,SUB004523,2022-08-15 09:12:41,2022-08-27 22:42:23,Customer reported: Recharge failure. Issue observed in Siliguri area. Ticket escalated to Level 2 support.,Recharge failure
CMP005432,SUB026105,2020-08-26 21:21:30,2020-09-06 10:30:15,Customer reported: SIM activation problem. Issue observed in Hubli area. Ticket escalated to Level 1 support.,SIM activation problem
CMP005433,SUB011462,2022-03-08 05:21:50,2022-03-13 21:36:03,Customer reported: Data not credited. Issue observed in Jodhpur area. Ticket escalated to Level 3 support.,Data not credited
CMP005434,SUB044408,2023-05-22 13:04:31,2023-06-02 19:15:31,Customer reported: Number portability. Issue observed in Howrah area. Ticket escalated to Level 2 support.,Number portability
CMP005435,SUB031891,2024-07-18 13:06:21,2024-07-25 23:20:30,Customer reported: International call problem. Issue observed in Ahmedabad area. Ticket escalated to Level 1 support.,International call problem
CMP005436,SUB037662,2020-05-23 22:06:09,2020-06-05 20:49:41,Customer reported: Recharge failure. Issue observed in Durgapur area. Ticket escalated to Level 1 support.,Recharge failure
CMP005437,SUB020930,2022-11-02 12:24:07,2022-11-10 15:09:09,Customer reported: Roaming issue. Issue observed in Howrah area. Ticket escalated to Level 3 support.,Roaming issue
CMP005438,SUB041734,2023-03-03 20:06:52,2023-03-08 09:32:09,Customer reported: Recharge failure. Issue observed in Udaipur area. Ticket escalated to Level 1 support.,Recharge failure
CMP005439,SUB009418,2019-04-14 06:38:38,,Customer reported: Voice call quality. Issue observed in Coimbatore area. Ticket escalated to Level 2 support.,Voice call quality
CMP005440,SUB006945,2021-12-22 13:10:03,,Customer reported: Call drops. Issue observed in Visakhapatnam area. Ticket escalated to Level 3 support.,Call drops
CMP005441,SUB005776,2024-12-08 20:03:40,2024-12-22 04:45:39,Customer reported: Data not credited. Issue observed in Mysore area. Ticket escalated to Level 1 support.,Data not credited
CMP005442,SUB032672,2024-01-22 20:53:26,2024-01-26 14:04:17,Customer reported: Number portability. Issue observed in Mumbai area. Ticket escalated to Level 1 support.,Number portability
CMP005443,SUB005915,2020-06-05 23:33:33,2020-06-13 21:39:14,Customer reported: Roaming issue. Issue observed in Amritsar area. Ticket escalated to Level 1 support.,Roaming issue
CMP005444,SUB046604,2022-09-26 10:45:06,2022-10-09 07:37:27,Customer reported: Slow internet speed. Issue observed in Jaipur area. Ticket escalated to Level 3 support.,Slow internet speed
CMP005445,SUB038469,2024-12-05 19:18:36,2024-12-15 19:59:09,Customer reported: International call problem. Issue observed in Vijayawada area. Ticket escalated to Level 2 support.,International call problem
CMP005446,SUB024762,2020-05-10 19:02:40,2020-05-19 22:48:49,Customer reported: Slow internet speed. Issue observed in Ludhiana area. Ticket escalated to Level 1 support.,Slow internet speed
CMP005447,SUB024381,2023-05-20 19:03:23,2023-06-02 22:56:26,Customer reported: Recharge failure. Issue observed in Kolkata area. Ticket escalated to Level 3 support.,Recharge failure
CMP005448,SUB003922,2021-04-15 15:07:06,,Customer reported: Recharge failure. Issue observed in Bangalore area. Ticket escalated to Level 1 support.,Recharge failure
CMP005449,SUB045793,2019-11-29 00:51:23,2019-12-03 08:11:21,Customer reported: SIM activation problem. Issue observed in Indore area. Ticket escalated to Level 1 support.,SIM activation problem
CMP005450,SUB046113,2022-06-10 07:10:07,2022-06-22 14:09:45,Customer reported: OTP not received. Issue observed in Madurai area. Ticket escalated to Level 3 support.,OTP not received
CMP005451,SUB017087,2024-10-14 19:05:30,2024-10-21 23:48:56,Customer reported: Roaming issue. Issue observed in Kolkata area. Ticket escalated to Level 3 support.,Roaming issue
CMP005452,SUB046873,2024-08-06 18:28:56,2024-08-13 13:33:54,Customer reported: Data not credited. Issue observed in Thane area. Ticket escalated to Level 1 support.,Data not credited
CMP005453,SUB043611,2022-04-21 05:27:55,2022-04-24 02:11:33,Customer reported: Billing issue. Issue observed in Mangalore area. Ticket escalated to Level 2 support.,Billing issue
CMP005454,SUB030353,2024-06-09 09:27:12,,Customer reported: Wrong deduction. Issue observed in Mumbai area. Ticket escalated to Level 2 support.,Wrong deduction
CMP005455,SUB020428,2024-05-19 00:21:13,2024-05-23 19:23:53,Customer reported: Customer service complaint. Issue observed in Madurai area. Ticket escalated to Level 2 support.,Customer service complaint
CMP005456,SUB046032,2022-06-14 20:42:59,2022-06-18 23:47:31,Customer reported: Roaming issue. Issue observed in Indore area. Ticket escalated to Level 2 support.,Roaming issue
CMP005457,SUB044997,2021-10-03 06:20:48,,Customer reported: Call drops. Issue observed in Hyderabad area. Ticket escalated to Level 2 support.,Call drops
CMP005458,SUB010725,2021-12-28 21:51:05,2021-12-30 13:27:59,Customer reported: Billing issue. Issue observed in Rajkot area. Ticket escalated to Level 1 support.,Billing issue
CMP005459,SUB011954,2020-11-20 00:25:25,2020-11-22 17:07:43,Customer reported: Data not credited. Issue observed in Patiala area. Ticket escalated to Level 3 support.,Data not credited
CMP005460,SUB028903,2024-05-01 21:59:27,2024-05-06 23:14:26,Customer reported: Number portability. Issue observed in Indore area. Ticket escalated to Level 3 support.,Number portability
CMP005461,SUB039985,2021-10-19 08:38:45,,Customer reported: Portability delay. Issue observed in Salem area. Ticket escalated to Level 1 support.,Portability delay
CMP005462,SUB021481,2021-04-06 03:35:29,,Customer reported: Portability delay. Issue observed in Jodhpur area. Ticket escalated to Level 2 support.,Portability delay
CMP005463,SUB049657,2023-08-11 06:53:17,,Customer reported: Poor network coverage. Issue observed in Meerut area. Ticket escalated to Level 2 support.,Poor network coverage
CMP005464,SUB003079,2024-11-08 02:39:27,2024-11-21 10:30:54,Customer reported: Slow internet speed. Issue observed in Thane area. Ticket escalated to Level 1 support.,Slow internet speed
CMP005465,SUB048271,2024-07-06 22:45:21,2024-07-18 11:00:21,Customer reported: Recharge failure. Issue observed in Pune area. Ticket escalated to Level 3 support.,Recharge failure
CMP005466,SUB041841,2020-05-31 17:06:49,,Customer reported: Wrong deduction. Issue observed in Amritsar area. Ticket escalated to Level 3 support.,Wrong deduction
CMP005467,SUB034442,2023-10-06 15:11:28,2023-10-14 09:47:58,Customer reported: Roaming issue. Issue observed in Solapur area. Ticket escalated to Level 2 support.,Roaming issue
CMP005468,SUB029946,2021-09-16 10:30:05,2021-09-26 09:18:25,Customer reported: Billing issue. Issue observed in Udaipur area. Ticket escalated to Level 3 support.,Billing issue
CMP005469,SUB030492,2020-09-11 18:15:07,2020-09-24 02:24:52,Customer reported: Portability delay. Issue observed in Hubli area. Ticket escalated to Level 2 support.,Portability delay
CMP005470,SUB001803,2021-04-20 00:14:39,,Customer reported: Wrong deduction. Issue observed in Ahmedabad area. Ticket escalated to Level 1 support.,Wrong deduction
CMP005471,SUB003586,2022-02-18 04:20:27,2022-02-20 18:35:16,Customer reported: Billing issue. Issue observed in Faridabad area. Ticket escalated to Level 3 support.,Billing issue
CMP005472,SUB001768,2021-03-28 03:50:15,2021-03-30 14:17:47,Customer reported: Billing issue. Issue observed in Delhi area. Ticket escalated to Level 3 support.,Billing issue
CMP005473,SUB003787,2022-06-14 08:05:18,2022-06-21 21:34:52,Customer reported: Billing issue. Issue observed in Jamnagar area. Ticket escalated to Level 1 support.,Billing issue
CMP005474,SUB035575,2023-04-03 01:40:48,,Customer reported: Poor network coverage. Issue observed in Vijayawada area. Ticket escalated to Level 2 support.,Poor network coverage
CMP005475,SUB033834,2020-07-18 14:30:06,2020-07-20 13:02:04,Customer reported: International call problem. Issue observed in Vadodara area. Ticket escalated to Level 3 support.,International call problem
CMP005476,SUB007798,2019-04-15 20:05:01,2019-04-19 15:50:14,Customer reported: Roaming issue. Issue observed in Jamnagar area. Ticket escalated to Level 2 support.,Roaming issue
CMP005477,SUB019623,2024-03-10 18:23:19,2024-03-23 06:44:02,Customer reported: Customer service complaint. Issue observed in Howrah area. Ticket escalated to Level 3 support.,Customer service complaint
CMP005478,SUB037151,2023-12-10 21:19:01,2023-12-14 12:03:18,Customer reported: OTP not received. Issue observed in Ghaziabad area. Ticket escalated to Level 2 support.,OTP not received
CMP005479,SUB029097,2024-12-05 12:20:22,2024-12-16 08:51:36,Customer reported: Voice call quality. Issue observed in Kolhapur area. Ticket escalated to Level 2 support.,Voice call quality
CMP005480,SUB030745,2024-10-10 02:22:52,2024-10-13 13:47:48,Customer reported: SIM activation problem. Issue observed in Agra area. Ticket escalated to Level 2 support.,SIM activation problem
CMP005481,SUB035288,2023-04-29 06:54:27,2023-05-06 03:48:29,Customer reported: Slow internet speed. Issue observed in Ujjain area. Ticket escalated to Level 2 support.,Slow internet speed
CMP005482,SUB035374,2019-10-03 16:07:07,,Customer reported: Data not credited. Issue observed in Bhavnagar area. Ticket escalated to Level 3 support.,Data not credited
CMP005483,SUB033041,2021-05-08 11:52:02,,Customer reported: Billing issue. Issue observed in Coimbatore area. Ticket escalated to Level 3 support.,Billing issue
CMP005484,SUB005390,2023-11-16 04:27:46,,Customer reported: Data not credited. Issue observed in Siliguri area. Ticket escalated to Level 1 support.,Data not credited
CMP005485,SUB022269,2018-12-25 17:13:46,2018-12-30 09:42:25,Customer reported: Portability delay. Issue observed in Surat area. Ticket escalated to Level 3 support.,Portability delay
CMP005486,SUB046205,2022-01-01 20:20:07,2022-01-03 03:26:23,Customer reported: Billing issue. Issue observed in Patiala area. Ticket escalated to Level 1 support.,Billing issue
CMP005487,SUB009516,2024-07-31 11:00:42,2024-08-05 01:06:08,Customer reported: Call drops. Issue observed in Ludhiana area. Ticket escalated to Level 1 support.,Call drops
CMP005488,SUB044902,2019-07-09 11:19:20,,Customer reported: OTP not received. Issue observed in Bellary area. Ticket escalated to Level 1 support.,OTP not received
CMP005489,SUB047177,2024-10-06 07:16:40,,Customer reported: Recharge failure. Issue observed in Mangalore area. Ticket escalated to Level 1 support.,Recharge failure
CMP005490,SUB006789,2020-01-27 05:41:25,2020-02-02 23:27:38,Customer reported: Customer service complaint. Issue observed in Indore area. Ticket escalated to Level 1 support.,Customer service complaint
CMP005491,SUB049344,2019-12-20 15:09:25,2019-12-26 23:10:05,Customer reported: Call drops. Issue observed in Asansol area. Ticket escalated to Level 2 support.,Call drops
CMP005492,SUB044764,2024-10-25 21:12:21,2024-11-03 16:17:39,Customer reported: Data not credited. Issue observed in Meerut area. Ticket escalated to Level 2 support.,Data not credited
CMP005493,SUB015754,2022-11-07 10:29:35,,Customer reported: International call problem. Issue observed in Mysore area. Ticket escalated to Level 2 support.,International call problem
CMP005494,SUB049943,2024-07-15 17:40:28,2024-07-21 00:43:22,Customer reported: Slow internet speed. Issue observed in Siliguri area. Ticket escalated to Level 1 support.,Slow internet speed
CMP005495,SUB047711,2020-04-19 15:59:29,2020-04-26 19:18:20,Customer reported: Data not credited. Issue observed in Pune area. Ticket escalated to Level 3 support.,Data not credited
CMP005496,SUB019293,2023-11-30 03:07:16,2023-12-06 10:43:54,Customer reported: International call problem. Issue observed in Bangalore area. Ticket escalated to Level 1 support.,International call problem
CMP005497,SUB020320,2021-03-20 15:07:42,2021-03-26 16:53:39,Customer reported: Billing issue. Issue observed in Kolhapur area. Ticket escalated to Level 3 support.,Billing issue
CMP005498,SUB023477,2021-04-08 17:52:12,,Customer reported: Number portability. Issue observed in Chandigarh area. Ticket escalated to Level 2 support.,Number portability
CMP005499,SUB031365,2024-07-23 05:31:30,,Customer reported: Wrong deduction. Issue observed in Mumbai area. Ticket escalated to Level 3 support.,Wrong deduction
CMP005500,SUB037717,2021-07-14 01:47:03,,Customer reported: International call problem. Issue observed in Chandigarh area. Ticket escalated to Level 3 support.,International call problem
CMP005501,SUB033401,2024-03-04 16:34:07,2024-03-07 12:57:56,Customer reported: OTP not received. Issue observed in Ahmedabad area. Ticket escalated to Level 1 support.,OTP not received
CMP005502,SUB029314,2022-02-23 19:08:53,2022-02-25 06:12:11,Customer reported: Data not credited. Issue observed in Tiruchirappalli area. Ticket escalated to Level 1 support.,Data not credited
CMP005503,SUB043101,2024-04-23 07:54:46,2024-04-30 02:40:46,Customer reported: Voice call quality. Issue observed in Gurgaon area. Ticket escalated to Level 1 support.,Voice call quality
CMP005504,SUB020415,2023-04-04 18:52:32,2023-04-14 05:31:10,Customer reported: Recharge failure. Issue observed in Jaipur area. Ticket escalated to Level 1 support.,Recharge failure
CMP005505,SUB012831,2019-07-02 21:45:47,2019-07-09 06:10:53,Customer reported: Customer service complaint. Issue observed in Hubli area. Ticket escalated to Level 2 support.,Customer service complaint
CMP005506,SUB032470,2023-02-20 10:57:55,2023-02-26 06:22:06,Customer reported: Poor network coverage. Issue observed in Kolhapur area. Ticket escalated to Level 3 support.,Poor network coverage
CMP005507,SUB046869,2024-06-30 07:45:10,2024-07-05 11:21:20,Customer reported: Roaming issue. Issue observed in Gurgaon area. Ticket escalated to Level 3 support.,Roaming issue
CMP005508,SUB028825,2018-12-30 07:41:30,2019-01-01 10:05:27,Customer reported: Voice call quality. Issue observed in Ahmedabad area. Ticket escalated to Level 2 support.,Voice call quality
CMP005509,SUB011747,2021-04-19 00:00:11,2021-04-30 10:37:33,Customer reported: Slow internet speed. Issue observed in Solapur area. Ticket escalated to Level 3 support.,Slow internet speed
CMP005510,SUB026151,2020-10-31 16:27:06,2020-11-02 13:59:00,Customer reported: Slow internet speed. Issue observed in Kota area. Ticket escalated to Level 2 support.,Slow internet speed
CMP005511,SUB041887,2023-03-10 19:19:29,2023-03-19 17:24:30,Customer reported: Roaming issue. Issue observed in Solapur area. Ticket escalated to Level 1 support.,Roaming issue
CMP005512,SUB024123,2022-01-24 00:16:16,2022-01-26 11:19:21,Customer reported: Customer service complaint. Issue observed in Nagpur area. Ticket escalated to Level 3 support.,Customer service complaint
CMP005513,SUB036851,2022-05-22 07:09:40,2022-05-28 08:19:04,Customer reported: Billing issue. Issue observed in Kota area. Ticket escalated to Level 3 support.,Billing issue
CMP005514,SUB044553,2024-10-26 06:25:55,2024-10-28 02:37:20,Customer reported: Billing issue. Issue observed in Coimbatore area. Ticket escalated to Level 1 support.,Billing issue
CMP005515,SUB027325,2022-08-03 02:56:40,2022-08-05 02:25:27,Customer reported: Wrong deduction. Issue observed in Solapur area. Ticket escalated to Level 3 support.,Wrong deduction
CMP005516,SUB030653,2021-10-18 00:06:03,2021-10-19 13:48:30,Customer reported: Voice call quality. Issue observed in Kolkata area. Ticket escalated to Level 3 support.,Voice call quality
CMP005517,SUB012564,2024-05-08 12:55:28,2024-05-21 06:28:05,Customer reported: Recharge failure. Issue observed in Udaipur area. Ticket escalated to Level 3 support.,Recharge failure
CMP005518,SUB008768,2020-06-14 03:14:12,2020-06-15 12:22:42,Customer reported: Slow internet speed. Issue observed in Salem area. Ticket escalated to Level 1 support.,Slow internet speed
CMP005519,SUB020942,2019-12-13 16:00:49,,Customer reported: Wrong deduction. Issue observed in Jamnagar area. Ticket escalated to Level 1 support.,Wrong deduction
CMP005520,SUB016150,2024-05-11 18:29:19,2024-05-21 21:04:33,Customer reported: International call problem. Issue observed in Surat area. Ticket escalated to Level 3 support.,International call problem
CMP005521,SUB017713,2024-11-13 01:25:52,2024-11-15 18:19:26,Customer reported: Billing issue. Issue observed in Patiala area. Ticket escalated to Level 3 support.,Billing issue
CMP005522,SUB013862,2019-08-31 14:27:07,2019-09-13 01:03:49,Customer reported: OTP not received. Issue observed in Hubli area. Ticket escalated to Level 3 support.,OTP not received
CMP005523,SUB006179,2021-09-02 03:18:50,2021-09-15 14:56:20,Customer reported: Recharge failure. Issue observed in Kolkata area. Ticket escalated to Level 2 support.,Recharge failure
CMP005524,SUB013509,2023-03-13 20:37:02,2023-03-20 02:44:02,Customer reported: Data not credited. Issue observed in Madurai area. Ticket escalated to Level 3 support.,Data not credited
CMP005525,SUB032735,2020-02-23 13:52:08,2020-02-28 08:25:47,Customer reported: Portability delay. Issue observed in Chennai area. Ticket escalated to Level 1 support.,Portability delay
CMP005526,SUB010991,2021-01-25 18:46:26,2021-01-28 16:25:47,Customer reported: Customer service complaint. Issue observed in Patiala area. Ticket escalated to Level 2 support.,Customer service complaint
CMP005527,SUB044696,2020-08-23 23:34:41,2020-08-31 08:51:04,Customer reported: International call problem. Issue observed in Asansol area. Ticket escalated to Level 1 support.,International call problem
CMP005528,SUB032342,2024-02-09 11:32:21,2024-02-21 23:00:15,Customer reported: Poor network coverage. Issue observed in Chandigarh area. Ticket escalated to Level 3 support.,Poor network coverage
CMP005529,SUB041587,2022-12-16 07:28:06,2022-12-24 07:37:11,Customer reported: Recharge failure. Issue observed in Ajmer area. Ticket escalated to Level 2 support.,Recharge failure
CMP005530,SUB049873,2023-06-27 13:46:00,2023-07-04 01:21:56,Customer reported: Roaming issue. Issue observed in Gandhinagar area. Ticket escalated to Level 1 support.,Roaming issue
CMP005531,SUB032911,2023-11-01 07:43:07,2023-11-13 16:27:43,Customer reported: Roaming issue. Issue observed in Pune area. Ticket escalated to Level 3 support.,Roaming issue
CMP005532,SUB012674,2024-11-12 08:23:04,2024-11-20 14:56:16,Customer reported: Voice call quality. Issue observed in Hyderabad area. Ticket escalated to Level 2 support.,Voice call quality
CMP005533,SUB029015,2018-10-11 14:58:33,2018-10-12 18:14:44,Customer reported: Call drops. Issue observed in Asansol area. Ticket escalated to Level 1 support.,Call drops
CMP005534,SUB008012,2020-04-17 15:04:24,2020-04-29 20:43:31,Customer reported: Slow internet speed. Issue observed in Ludhiana area. Ticket escalated to Level 1 support.,Slow internet speed
CMP005535,SUB036258,2020-10-30 09:36:22,2020-11-09 22:09:16,Customer reported: Billing issue. Issue observed in Durgapur area. Ticket escalated to Level 3 support.,Billing issue
CMP005536,SUB018541,2022-05-30 17:02:16,,Customer reported: SIM activation problem. Issue observed in Gurgaon area. Ticket escalated to Level 3 support.,SIM activation problem
CMP005537,SUB020793,2022-08-08 01:54:10,2022-08-19 16:24:06,Customer reported: Poor network coverage. Issue observed in Bikaner area. Ticket escalated to Level 1 support.,Poor network coverage
CMP005538,SUB043274,2023-07-13 22:21:55,2023-07-23 10:47:31,Customer reported: Billing issue. Issue observed in Junagadh area. Ticket escalated to Level 3 support.,Billing issue
CMP005539,SUB033864,2024-01-05 09:10:26,,Customer reported: Roaming issue. Issue observed in Ajmer area. Ticket escalated to Level 1 support.,Roaming issue
CMP005540,SUB004043,2019-07-15 00:56:23,2019-07-24 13:54:24,Customer reported: Call drops. Issue observed in Surat area. Ticket escalated to Level 2 support.,Call drops
CMP005541,SUB014554,2023-05-19 04:40:19,2023-05-20 17:12:17,Customer reported: Voice call quality. Issue observed in Indore area. Ticket escalated to Level 2 support.,Voice call quality
CMP005542,SUB021224,2024-08-27 23:34:15,2024-09-08 21:15:42,Customer reported: International call problem. Issue observed in Aurangabad area. Ticket escalated to Level 2 support.,International call problem
CMP005543,SUB038497,2020-10-21 07:32:05,2020-10-23 01:47:00,Customer reported: SIM activation problem. Issue observed in Kolhapur area. Ticket escalated to Level 3 support.,SIM activation problem
CMP005544,SUB025231,2023-03-13 18:05:25,2023-03-26 05:52:33,Customer reported: Billing issue. Issue observed in Mumbai area. Ticket escalated to Level 3 support.,Billing issue
CMP005545,SUB027479,2021-09-30 12:48:11,2021-10-10 08:57:39,Customer reported: International call problem. Issue observed in Tiruchirappalli area. Ticket escalated to Level 3 support.,International call problem
CMP005546,SUB038534,2024-04-22 23:44:49,,Customer reported: Billing issue. Issue observed in Amritsar area. Ticket escalated to Level 2 support.,Billing issue
CMP005547,SUB021751,2020-05-04 03:09:19,2020-05-10 08:29:03,Customer reported: Roaming issue. Issue observed in Bikaner area. Ticket escalated to Level 2 support.,Roaming issue
CMP005548,SUB022417,2024-12-29 23:03:08,,Customer reported: Slow internet speed. Issue observed in Nashik area. Ticket escalated to Level 1 support.,Slow internet speed
