Tower_id,capacity,covrage_area,location,Tower_status
1050,300,Urban,"Nagpur, Maharashtra — Sector 27",active
1051,1000,Urban,"Durgapur, West Bengal — Sector 19",active
1052,200,Urban,"Meerut, Uttar Pradesh — Sector 45",active
1053,1000,Industrial,"Lucknow, Uttar Pradesh — Sector 10",active
1054,300,Airport,"Bangalore, Karnataka — Sector 47",active
1055,750,Mall,"Meerut, Uttar Pradesh — Sector 9",active
1056,300,Commercial,"Nashik, Maharashtra — Sector 9",inactive
1057,500,Rural,"Mysore, Karnataka — Sector 30",active
1058,1000,Residential,"Kota, Rajasthan — Sector 38",active
1059,1000,Commercial,"Hyderabad, Telangana — Sector 42",inactive
1060,1000,Railway Station,"Ahmedabad, Gujarat — Sector 4",active
1061,100,Railway Station,"Jamnagar, Gujarat — Sector 38",active
1062,100,Highway,"Kolhapur, Maharashtra — Sector 8",active
1063,100,Urban,"Faridabad, Haryana — Sector 18",active
1064,1000,Commercial,"Salem, Tamil Nadu — Sector 27",active
1065,750,Highway,"Ahmedabad, Gujarat — Sector 36",active
1066,300,Highway,"Mysore, Karnataka — Sector 27",active
1067,200,Urban,"Noida, Uttar Pradesh — Sector 24",active
1068,1000,Residential,"Tiruchirappalli, Tamil Nadu — Sector 7",active
1069,1000,Railway Station,"Coimbatore, Tamil Nadu — Sector 24",active
1070,1000,Railway Station,"Surat, Gujarat — Sector 49",active
1071,1000,Residential,"Gandhinagar, Gujarat — Sector 42",active
1072,500,Residential,"Bhavnagar, Gujarat — Sector 8",active
1073,300,Highway,"Bellary, Karnataka — Sector 23",active
1074,1000,Industrial,"Ujjain, Madhya Pradesh — Sector 44",active
1075,1000,Airport,"Howrah, West Bengal — Sector 45",active
1076,300,Suburban,"Madurai, Tamil Nadu — Sector 5",active
1077,750,Railway Station,"Bhopal, Madhya Pradesh — Sector 30",inactive
1078,100,Railway Station,"Jamnagar, Gujarat — Sector 22",active
1079,200,Airport,"Howrah, West Bengal — Sector 36",active
1080,200,Highway,"Thane, Maharashtra — Sector 3",active
1081,1000,Urban,"Jabalpur, Madhya Pradesh — Sector 19",active
1082,100,Railway Station,"Howrah, West Bengal — Sector 1",active
1083,750,Suburban,"Jabalpur, Madhya Pradesh — Sector 20",active
1084,300,Residential,"Jabalpur, Madhya Pradesh — Sector 42",active
1085,500,Commercial,"Mumbai, Maharashtra — Sector 44",active
1086,100,Railway Station,"Junagadh, Gujarat — Sector 14",active
1087,300,Railway Station,"Tiruchirappalli, Tamil Nadu — Sector 50",maintenance
1088,300,Suburban,"Surat, Gujarat — Sector 36",active
1089,300,Highway,"Faridabad, Haryana — Sector 35",active
1090,1000,Residential,"Surat, Gujarat — Sector 2",maintenance
1091,200,Railway Station,"Siliguri, West Bengal — Sector 23",active
1092,200,Airport,"Ajmer, Rajasthan — Sector 10",inactive
1093,1000,Mall,"Gwalior, Madhya Pradesh — Sector 40",active
1094,200,Urban,"Ghaziabad, Uttar Pradesh — Sector 5",active
1095,500,Commercial,"Ajmer, Rajasthan — Sector 12",inactive
1096,750,Rural,"Salem, Tamil Nadu — Sector 35",active
1097,300,Highway,"Gurgaon, Haryana — Sector 31",active
1098,300,Airport,"Noida, Uttar Pradesh — Sector 21",active
1099,500,Airport,"Howrah, West Bengal — Sector 15",active
1100,100,Highway,"Mangalore, Karnataka — Sector 36",inactive
1101,100,Residential,"Siliguri, West Bengal — Sector 32",active
1102,1000,Railway Station,"Bikaner, Rajasthan — Sector 19",active
1103,100,Commercial,"Durgapur, West Bengal — Sector 10",active
1104,200,Suburban,"Chennai, Tamil Nadu — Sector 15",active
1105,500,Rural,"Bellary, Karnataka — Sector 21",active
1106,500,Urban,"Mangalore, Karnataka — Sector 19",active
1107,200,Highway,"Agra, Uttar Pradesh — Sector 13",active
1108,500,Suburban,"Salem, Tamil Nadu — Sector 9",active
1109,500,Railway Station,"Amritsar, Punjab — Sector 30",active
1110,200,Urban,"Junagadh, Gujarat — Sector 31",active
1111,100,Industrial,"Kota, Rajasthan — Sector 39",active
1112,100,Urban,"Ludhiana, Punjab — Sector 41",active
1113,200,Railway Station,"Asansol, West Bengal — Sector 46",active
1114,500,Mall,"Siliguri, West Bengal — Sector 12",active
1115,1000,Rural,"Lucknow, Uttar Pradesh — Sector 38",active
1116,1000,Urban,"Faridabad, Haryana — Sector 31",active
1117,500,Commercial,"Chandigarh, Punjab — Sector 32",active
1118,1000,Airport,"Thane, Maharashtra — Sector 50",active
1119,500,Commercial,"Jodhpur, Rajasthan — Sector 13",active
1120,500,Rural,"Chennai, Tamil Nadu — Sector 47",active
1121,750,Industrial,"Gwalior, Madhya Pradesh — Sector 30",active
1122,300,Mall,"Chandigarh, Punjab — Sector 7",maintenance
1123,1000,Railway Station,"Lucknow, Uttar Pradesh — Sector 21",active
1124,200,Residential,"Nashik, Maharashtra — Sector 23",active
1125,1000,Industrial,"Guntur, Andhra Pradesh — Sector 23",active
1126,750,Airport,"Ujjain, Madhya Pradesh — Sector 16",active
1127,100,Suburban,"Jamnagar, Gujarat — Sector 19",active
1128,100,Residential,"Meerut, Uttar Pradesh — Sector 19",active
1129,200,Commercial,"Delhi, Delhi — Sector 20",active
1130,500,Urban,"Mangalore, Karnataka — Sector 30",active
1131,500,Industrial,"Bhavnagar, Gujarat — Sector 50",active
1132,750,Mall,"Coimbatore, Tamil Nadu — Sector 5",active
1133,500,Mall,"Mumbai, Maharashtra — Sector 9",active
1134,750,Railway Station,"Madurai, Tamil Nadu — Sector 50",active
1135,100,Mall,"Faridabad, Haryana — Sector 42",active
1136,500,Rural,"Guntur, Andhra Pradesh — Sector 25",active
1137,500,Highway,"Solapur, Maharashtra — Sector 49",active
1138,200,Airport,"Ghaziabad, Uttar Pradesh — Sector 47",active
1139,500,Industrial,"Mumbai, Maharashtra — Sector 39",active
1140,1000,Commercial,"Coimbatore, Tamil Nadu — Sector 23",active
1141,500,Urban,"Mangalore, Karnataka — Sector 49",active
1142,750,Residential,"Madurai, Tamil Nadu — Sector 9",active
1143,200,Mall,"Nagpur, Maharashtra — Sector 44",maintenance
1144,500,Residential,"Ludhiana, Punjab — Sector 26",active
1145,1000,Commercial,"Siliguri, West Bengal — Sector 48",active
1146,300,Urban,"Guntur, Andhra Pradesh — Sector 41",active
1147,300,Commercial,"Visakhapatnam, Andhra Pradesh — Sector 26",active
1148,750,Urban,"Warangal, Telangana — Sector 17",maintenance
1149,1000,Commercial,"Patiala, Punjab — Sector 27",active
1150,300,Residential,"Delhi, Delhi — Sector 29",active
1151,750,Highway,"Junagadh, Gujarat — Sector 48",active
1152,200,Rural,"Kota, Rajasthan — Sector 44",active
1153,200,Urban,"Bhopal, Madhya Pradesh — Sector 36",active
1154,1000,Mall,"Jaipur, Rajasthan — Sector 14",active
1155,200,Suburban,"Amritsar, Punjab — Sector 37",active
1156,750,Residential,"Gwalior, Madhya Pradesh — Sector 31",active
1157,500,Railway Station,"Bangalore, Karnataka — Sector 9",active
1158,200,Industrial,"Kolkata, West Bengal — Sector 8",active
1159,200,Urban,"Kolhapur, Maharashtra — Sector 33",active
1160,1000,Commercial,"Thane, Maharashtra — Sector 8",active
1161,500,Urban,"Agra, Uttar Pradesh — Sector 31",active
1162,1000,Industrial,"Noida, Uttar Pradesh — Sector 11",active
1163,100,Railway Station,"Jabalpur, Madhya Pradesh — Sector 24",active
1164,100,Rural,"Durgapur, West Bengal — Sector 47",active
1165,300,Railway Station,"Pune, Maharashtra — Sector 17",active
1166,1000,Railway Station,"Nagpur, Maharashtra — Sector 18",active
1167,300,Residential,"Bangalore, Karnataka — Sector 9",active
1168,200,Commercial,"Salem, Tamil Nadu — Sector 33",active
1169,100,Rural,"Bikaner, Rajasthan — Sector 34",active
1170,100,Railway Station,"Madurai, Tamil Nadu — Sector 36",active
1171,1000,Mall,"Madurai, Tamil Nadu — Sector 1",active
1172,500,Rural,"Siliguri, West Bengal — Sector 43",inactive
1173,300,Residential,"Noida, Uttar Pradesh — Sector 8",active
1174,200,Railway Station,"Mysore, Karnataka — Sector 1",active
1175,750,Suburban,"Agra, Uttar Pradesh — Sector 34",active
1176,1000,Airport,"Siliguri, West Bengal — Sector 14",active
1177,750,Rural,"Ludhiana, Punjab — Sector 17",active
1178,750,Suburban,"Durgapur, West Bengal — Sector 25",active
1179,100,Residential,"Salem, Tamil Nadu — Sector 28",active
1180,1000,Rural,"Bellary, Karnataka — Sector 33",active
1181,1000,Mall,"Ludhiana, Punjab — Sector 22",active
1182,100,Mall,"Bikaner, Rajasthan — Sector 33",active
1183,750,Airport,"Durgapur, West Bengal — Sector 38",active
1184,300,Mall,"Jamnagar, Gujarat — Sector 41",active
1185,200,Urban,"Meerut, Uttar Pradesh — Sector 12",active
1186,500,Residential,"Bellary, Karnataka — Sector 1",active
1187,750,Mall,"Aurangabad, Maharashtra — Sector 8",maintenance
1188,300,Mall,"Mysore, Karnataka — Sector 13",active
1189,300,Railway Station,"Jabalpur, Madhya Pradesh — Sector 17",active
1190,500,Rural,"Gwalior, Madhya Pradesh — Sector 24",active
1191,100,Residential,"Jabalpur, Madhya Pradesh — Sector 34",active
1192,500,Industrial,"Agra, Uttar Pradesh — Sector 27",active
1193,1000,Urban,"Rajkot, Gujarat — Sector 44",active
1194,300,Suburban,"Delhi, Delhi — Sector 24",active
1195,100,Commercial,"Jaipur, Rajasthan — Sector 5",active
1196,750,Suburban,"Ujjain, Madhya Pradesh — Sector 6",active
1197,100,Urban,"Coimbatore, Tamil Nadu — Sector 30",active
1198,100,Suburban,"Ujjain, Madhya Pradesh — Sector 1",active
1199,300,Airport,"Tiruchirappalli, Tamil Nadu — Sector 32",inactive
1200,300,Industrial,"Chandigarh, Punjab — Sector 25",active
1201,200,Suburban,"Faridabad, Haryana — Sector 18",active
1202,750,Suburban,"Visakhapatnam, Andhra Pradesh — Sector 27",active
1203,500,Airport,"Asansol, West Bengal — Sector 49",active
1204,750,Airport,"Hubli, Karnataka — Sector 23",inactive
1205,500,Mall,"Coimbatore, Tamil Nadu — Sector 30",active
1206,1000,Airport,"Thane, Maharashtra — Sector 2",active
1207,200,Mall,"Bikaner, Rajasthan — Sector 12",active
1208,200,Rural,"Kolkata, West Bengal — Sector 33",active
1209,300,Suburban,"Bhopal, Madhya Pradesh — Sector 3",active
1210,300,Highway,"Mangalore, Karnataka — Sector 41",active
1211,300,Railway Station,"Durgapur, West Bengal — Sector 27",active
1212,500,Rural,"Noida, Uttar Pradesh — Sector 49",active
1213,100,Residential,"Aurangabad, Maharashtra — Sector 9",active
1214,300,Airport,"Aurangabad, Maharashtra — Sector 24",inactive
1215,100,Residential,"Surat, Gujarat — Sector 30",active
1216,1000,Railway Station,"Jodhpur, Rajasthan — Sector 39",active
1217,300,Residential,"Amritsar, Punjab — Sector 2",active
1218,500,Railway Station,"Bhopal, Madhya Pradesh — Sector 39",active
1219,1000,Rural,"Salem, Tamil Nadu — Sector 6",active
1220,200,Residential,"Junagadh, Gujarat — Sector 14",active
1221,100,Residential,"Siliguri, West Bengal — Sector 16",active
1222,750,Residential,"Jamnagar, Gujarat — Sector 34",active
1223,200,Railway Station,"Hyderabad, Telangana — Sector 48",active
1224,500,Residential,"Kota, Rajasthan — Sector 19",active
1225,750,Highway,"Mangalore, Karnataka — Sector 4",active
1226,100,Airport,"Jamnagar, Gujarat — Sector 8",active
1227,100,Highway,"Tiruchirappalli, Tamil Nadu — Sector 16",active
1228,750,Railway Station,"Vijayawada, Andhra Pradesh — Sector 26",active
1229,500,Residential,"Lucknow, Uttar Pradesh — Sector 28",maintenance
1230,200,Residential,"Madurai, Tamil Nadu — Sector 30",active
1231,300,Urban,"Mysore, Karnataka — Sector 20",active
1232,1000,Urban,"Gurgaon, Haryana — Sector 41",active
1233,750,Industrial,"Ghaziabad, Uttar Pradesh — Sector 11",maintenance
1234,300,Airport,"Guntur, Andhra Pradesh — Sector 45",active
1235,300,Mall,"Udaipur, Rajasthan — Sector 19",active
1236,500,Suburban,"Bellary, Karnataka — Sector 33",active
1237,300,Suburban,"Ludhiana, Punjab — Sector 23",active
1238,300,Commercial,"Chandigarh, Punjab — Sector 20",active
1239,750,Urban,"Jalandhar, Punjab — Sector 2",active
1240,750,Railway Station,"Nagpur, Maharashtra — Sector 25",active
1241,100,Industrial,"Noida, Uttar Pradesh — Sector 4",active
1242,200,Highway,"Meerut, Uttar Pradesh — Sector 31",active
1243,300,Urban,"Bangalore, Karnataka — Sector 5",active
1244,750,Mall,"Noida, Uttar Pradesh — Sector 21",maintenance
1245,750,Urban,"Kolkata, West Bengal — Sector 33",active
1246,300,Highway,"Mysore, Karnataka — Sector 9",active
1247,1000,Commercial,"Jaipur, Rajasthan — Sector 15",active
1248,100,Residential,"Chandigarh, Punjab — Sector 20",active
1249,300,Residential,"Ajmer, Rajasthan — Sector 32",active
1250,500,Commercial,"Meerut, Uttar Pradesh — Sector 30",active
1251,200,Industrial,"Madurai, Tamil Nadu — Sector 16",active
1252,1000,Suburban,"Ghaziabad, Uttar Pradesh — Sector 35",active
1253,300,Industrial,"Aurangabad, Maharashtra — Sector 27",active
1254,1000,Mall,"Bangalore, Karnataka — Sector 9",active
1255,300,Highway,"Vijayawada, Andhra Pradesh — Sector 12",inactive
1256,500,Industrial,"Delhi, Delhi — Sector 25",active
1257,300,Industrial,"Ahmedabad, Gujarat — Sector 12",active
1258,100,Commercial,"Guntur, Andhra Pradesh — Sector 40",active
1259,750,Mall,"Indore, Madhya Pradesh — Sector 1",active
1260,1000,Residential,"Bhopal, Madhya Pradesh — Sector 5",active
1261,500,Rural,"Kolhapur, Maharashtra — Sector 27",active
1262,200,Industrial,"Bangalore, Karnataka — Sector 13",active
1263,500,Commercial,"Kolkata, West Bengal — Sector 33",active
1264,200,Residential,"Lucknow, Uttar Pradesh — Sector 41",active
1265,200,Commercial,"Jaipur, Rajasthan — Sector 26",active
1266,300,Mall,"Tiruchirappalli, Tamil Nadu — Sector 17",inactive
1267,500,Mall,"Bhavnagar, Gujarat — Sector 20",active
1268,100,Airport,"Mangalore, Karnataka — Sector 12",active
1269,500,Airport,"Durgapur, West Bengal — Sector 33",active
1270,200,Railway Station,"Indore, Madhya Pradesh — Sector 11",active
1271,750,Suburban,"Hubli, Karnataka — Sector 26",active
1272,200,Suburban,"Gurgaon, Haryana — Sector 10",active
1273,100,Mall,"Indore, Madhya Pradesh — Sector 44",maintenance
1274,300,Suburban,"Gwalior, Madhya Pradesh — Sector 48",active
1275,300,Airport,"Howrah, West Bengal — Sector 29",active
1276,300,Airport,"Chennai, Tamil Nadu — Sector 50",active
1277,500,Commercial,"Mysore, Karnataka — Sector 6",active
1278,200,Urban,"Thane, Maharashtra — Sector 42",active
1279,750,Highway,"Agra, Uttar Pradesh — Sector 32",active
1280,1000,Commercial,"Bangalore, Karnataka — Sector 48",active
1281,300,Rural,"Coimbatore, Tamil Nadu — Sector 50",active
1282,750,Industrial,"Jabalpur, Madhya Pradesh — Sector 19",active
1283,300,Railway Station,"Madurai, Tamil Nadu — Sector 14",active
1284,300,Rural,"Indore, Madhya Pradesh — Sector 39",active
1285,500,Industrial,"Bikaner, Rajasthan — Sector 4",active
1286,100,Residential,"Siliguri, West Bengal — Sector 28",active
1287,200,Suburban,"Guntur, Andhra Pradesh — Sector 46",active
1288,1000,Urban,"Siliguri, West Bengal — Sector 11",active
1289,500,Suburban,"Jabalpur, Madhya Pradesh — Sector 24",active
1290,300,Residential,"Lucknow, Uttar Pradesh — Sector 29",active
1291,500,Airport,"Guntur, Andhra Pradesh — Sector 3",active
1292,100,Rural,"Indore, Madhya Pradesh — Sector 12",active
1293,1000,Urban,"Durgapur, West Bengal — Sector 12",active
1294,100,Suburban,"Bhavnagar, Gujarat — Sector 14",active
1295,100,Airport,"Chennai, Tamil Nadu — Sector 41",inactive
1296,100,Commercial,"Vijayawada, Andhra Pradesh — Sector 5",active
1297,1000,Mall,"Jamnagar, Gujarat — Sector 2",active
1298,1000,Industrial,"Faridabad, Haryana — Sector 28",active
1299,750,Commercial,"Howrah, West Bengal — Sector 36",maintenance
1300,300,Residential,"Warangal, Telangana — Sector 47",active
1301,750,Commercial,"Vadodara, Gujarat — Sector 19",active
1302,300,Highway,"Jabalpur, Madhya Pradesh — Sector 20",active
1303,500,Residential,"Bellary, Karnataka — Sector 49",active
1304,500,Airport,"Chandigarh, Punjab — Sector 25",active
1305,300,Industrial,"Jaipur, Rajasthan — Sector 40",active
1306,500,Airport,"Ajmer, Rajasthan — Sector 1",maintenance
1307,100,Mall,"Jodhpur, Rajasthan — Sector 48",active
1308,750,Residential,"Visakhapatnam, Andhra Pradesh — Sector 49",active
1309,750,Commercial,"Lucknow, Uttar Pradesh — Sector 24",inactive
1310,300,Railway Station,"Nashik, Maharashtra — Sector 18",active
1311,750,Residential,"Jalandhar, Punjab — Sector 16",active
1312,100,Highway,"Hyderabad, Telangana — Sector 41",inactive
1313,300,Mall,"Kolkata, West Bengal — Sector 30",active
1314,500,Residential,"Kolkata, West Bengal — Sector 15",active
1315,500,Highway,"Amritsar, Punjab — Sector 29",active
1316,750,Highway,"Delhi, Delhi — Sector 21",active
1317,1000,Rural,"Bhopal, Madhya Pradesh — Sector 20",active
1318,1000,Mall,"Mumbai, Maharashtra — Sector 37",active
1319,200,Residential,"Gurgaon, Haryana — Sector 6",active
1320,1000,Highway,"Lucknow, Uttar Pradesh — Sector 26",active
1321,300,Railway Station,"Pune, Maharashtra — Sector 12",active
1322,500,Urban,"Jaipur, Rajasthan — Sector 48",active
1323,500,Commercial,"Delhi, Delhi — Sector 20",inactive
1324,1000,Commercial,"Bellary, Karnataka — Sector 3",active
1325,1000,Rural,"Mysore, Karnataka — Sector 19",maintenance
1326,100,Urban,"Warangal, Telangana — Sector 6",active
1327,100,Rural,"Gurgaon, Haryana — Sector 39",maintenance
1328,100,Railway Station,"Hyderabad, Telangana — Sector 19",active
1329,750,Mall,"Ajmer, Rajasthan — Sector 2",active
1330,200,Rural,"Rajkot, Gujarat — Sector 12",active
1331,500,Urban,"Gwalior, Madhya Pradesh — Sector 16",active
1332,750,Industrial,"Madurai, Tamil Nadu — Sector 40",maintenance
1333,300,Industrial,"Jaipur, Rajasthan — Sector 30",active
1334,100,Mall,"Jaipur, Rajasthan — Sector 6",maintenance
1335,750,Commercial,"Guntur, Andhra Pradesh — Sector 10",active
1336,100,Highway,"Mysore, Karnataka — Sector 36",active
1337,300,Rural,"Pune, Maharashtra — Sector 16",active
1338,200,Highway,"Kolhapur, Maharashtra — Sector 31",maintenance
1339,100,Residential,"Junagadh, Gujarat — Sector 34",active
1340,1000,Highway,"Junagadh, Gujarat — Sector 13",active
1341,1000,Suburban,"Mangalore, Karnataka — Sector 21",active
1342,200,Rural,"Indore, Madhya Pradesh — Sector 10",active
1343,500,Airport,"Ghaziabad, Uttar Pradesh — Sector 17",active
1344,500,Airport,"Junagadh, Gujarat — Sector 21",active
1345,200,Rural,"Hyderabad, Telangana — Sector 2",active
1346,750,Industrial,"Amritsar, Punjab — Sector 36",active
1347,500,Residential,"Chennai, Tamil Nadu — Sector 45",inactive
1348,300,Suburban,"Coimbatore, Tamil Nadu — Sector 28",active
1349,300,Mall,"Patiala, Punjab — Sector 49",active
1350,500,Industrial,"Hyderabad, Telangana — Sector 12",active
1351,100,Railway Station,"Faridabad, Haryana — Sector 12",active
1352,200,Railway Station,"Gurgaon, Haryana — Sector 24",active
1353,750,Suburban,"Howrah, West Bengal — Sector 10",active
1354,500,Railway Station,"Rajkot, Gujarat — Sector 36",active
1355,100,Residential,"Mangalore, Karnataka — Sector 2",active
1356,1000,Urban,"Jabalpur, Madhya Pradesh — Sector 10",active
1357,100,Mall,"Bangalore, Karnataka — Sector 37",active
1358,1000,Residential,"Ghaziabad, Uttar Pradesh — Sector 39",maintenance
1359,200,Railway Station,"Bhavnagar, Gujarat — Sector 9",active
1360,200,Mall,"Kolhapur, Maharashtra — Sector 36",active
1361,200,Urban,"Indore, Madhya Pradesh — Sector 20",active
1362,500,Highway,"Guntur, Andhra Pradesh — Sector 41",active
1363,100,Rural,"Kolkata, West Bengal — Sector 38",active
1364,750,Suburban,"Hubli, Karnataka — Sector 29",active
1365,500,Industrial,"Kolkata, West Bengal — Sector 16",inactive
1366,300,Commercial,"Nashik, Maharashtra — Sector 3",active
1367,300,Suburban,"Rajkot, Gujarat — Sector 19",active
1368,300,Railway Station,"Ahmedabad, Gujarat — Sector 28",active
1369,750,Residential,"Durgapur, West Bengal — Sector 22",active
1370,100,Urban,"Ahmedabad, Gujarat — Sector 21",active
1371,1000,Commercial,"Jamnagar, Gujarat — Sector 17",active
1372,100,Airport,"Mangalore, Karnataka — Sector 15",active
1373,500,Rural,"Salem, Tamil Nadu — Sector 18",active
1374,1000,Suburban,"Vijayawada, Andhra Pradesh — Sector 27",inactive
1375,100,Commercial,"Gwalior, Madhya Pradesh — Sector 49",active
1376,200,Commercial,"Gwalior, Madhya Pradesh — Sector 1",active
1377,300,Mall,"Vadodara, Gujarat — Sector 50",active
1378,100,Industrial,"Amritsar, Punjab — Sector 31",active
1379,500,Airport,"Kota, Rajasthan — Sector 2",active
1380,1000,Suburban,"Hubli, Karnataka — Sector 7",active
1381,500,Industrial,"Warangal, Telangana — Sector 41",active
1382,1000,Railway Station,"Agra, Uttar Pradesh — Sector 9",active
1383,300,Highway,"Noida, Uttar Pradesh — Sector 15",active
1384,750,Highway,"Lucknow, Uttar Pradesh — Sector 2",active
1385,200,Rural,"Lucknow, Uttar Pradesh — Sector 30",active
1386,500,Suburban,"Guntur, Andhra Pradesh — Sector 15",active
1387,100,Railway Station,"Indore, Madhya Pradesh — Sector 16",active
1388,1000,Rural,"Madurai, Tamil Nadu — Sector 23",active
1389,300,Commercial,"Siliguri, West Bengal — Sector 47",active
1390,100,Suburban,"Bikaner, Rajasthan — Sector 29",maintenance
1391,100,Rural,"Rajkot, Gujarat — Sector 21",active
1392,500,Highway,"Madurai, Tamil Nadu — Sector 42",active
1393,750,Rural,"Ujjain, Madhya Pradesh — Sector 50",active
1394,750,Mall,"Vadodara, Gujarat — Sector 25",active
1395,500,Suburban,"Coimbatore, Tamil Nadu — Sector 23",inactive
1396,1000,Industrial,"Visakhapatnam, Andhra Pradesh — Sector 15",active
1397,200,Commercial,"Jaipur, Rajasthan — Sector 20",active
1398,750,Rural,"Howrah, West Bengal — Sector 17",active
1399,300,Railway Station,"Asansol, West Bengal — Sector 28",active
1400,500,Highway,"Gurgaon, Haryana — Sector 22",active
1401,500,Highway,"Chennai, Tamil Nadu — Sector 47",active
1402,500,Airport,"Rajkot, Gujarat — Sector 30",active
1403,1000,Rural,"Lucknow, Uttar Pradesh — Sector 38",active
1404,300,Industrial,"Kolkata, West Bengal — Sector 15",active
1405,750,Suburban,"Patiala, Punjab — Sector 13",active
1406,100,Residential,"Vijayawada, Andhra Pradesh — Sector 32",active
1407,750,Railway Station,"Surat, Gujarat — Sector 26",active
1408,300,Highway,"Thane, Maharashtra — Sector 34",active
1409,750,Suburban,"Vadodara, Gujarat — Sector 6",active
1410,100,Suburban,"Pune, Maharashtra — Sector 4",active
1411,500,Airport,"Thane, Maharashtra — Sector 12",active
1412,1000,Residential,"Jaipur, Rajasthan — Sector 39",active
1413,750,Rural,"Siliguri, West Bengal — Sector 37",inactive
1414,1000,Industrial,"Howrah, West Bengal — Sector 46",active
1415,1000,Highway,"Guntur, Andhra Pradesh — Sector 28",active
1416,200,Industrial,"Kota, Rajasthan — Sector 39",active
1417,1000,Rural,"Ahmedabad, Gujarat — Sector 22",active
1418,750,Residential,"Hubli, Karnataka — Sector 9",active
1419,300,Industrial,"Faridabad, Haryana — Sector 32",inactive
1420,1000,Commercial,"Coimbatore, Tamil Nadu — Sector 28",active
1421,1000,Rural,"Vadodara, Gujarat — Sector 14",active
1422,100,Airport,"Hubli, Karnataka — Sector 46",active
1423,500,Mall,"Udaipur, Rajasthan — Sector 46",active
1424,500,Suburban,"Bikaner, Rajasthan — Sector 30",active
1425,200,Industrial,"Rajkot, Gujarat — Sector 37",active
1426,300,Airport,"Jodhpur, Rajasthan — Sector 16",active
1427,1000,Suburban,"Hyderabad, Telangana — Sector 42",active
1428,750,Suburban,"Aurangabad, Maharashtra — Sector 14",active
1429,300,Airport,"Durgapur, West Bengal — Sector 38",active
1430,1000,Urban,"Lucknow, Uttar Pradesh — Sector 42",active
1431,300,Industrial,"Aurangabad, Maharashtra — Sector 11",maintenance
1432,500,Railway Station,"Ajmer, Rajasthan — Sector 4",inactive
1433,500,Rural,"Agra, Uttar Pradesh — Sector 12",active
1434,1000,Highway,"Solapur, Maharashtra — Sector 48",active
1435,100,Highway,"Hubli, Karnataka — Sector 28",active
1436,300,Mall,"Durgapur, West Bengal — Sector 30",active
1437,1000,Industrial,"Ajmer, Rajasthan — Sector 40",active
1438,200,Railway Station,"Coimbatore, Tamil Nadu — Sector 48",active
1439,200,Highway,"Noida, Uttar Pradesh — Sector 12",active
1440,750,Railway Station,"Delhi, Delhi — Sector 41",active
1441,100,Mall,"Delhi, Delhi — Sector 44",active
1442,1000,Highway,"Aurangabad, Maharashtra — Sector 34",active
1443,100,Industrial,"Ahmedabad, Gujarat — Sector 1",inactive
1444,500,Highway,"Ghaziabad, Uttar Pradesh — Sector 28",active
1445,300,Residential,"Meerut, Uttar Pradesh — Sector 17",active
1446,750,Residential,"Jabalpur, Madhya Pradesh — Sector 29",active
1447,500,Residential,"Faridabad, Haryana — Sector 14",active
1448,300,Residential,"Junagadh, Gujarat — Sector 44",maintenance
1449,200,Industrial,"Coimbatore, Tamil Nadu — Sector 41",active
1450,300,Airport,"Ludhiana, Punjab — Sector 39",active
1451,200,Residential,"Hubli, Karnataka — Sector 8",active
1452,100,Urban,"Chennai, Tamil Nadu — Sector 39",active
1453,300,Mall,"Asansol, West Bengal — Sector 41",active
1454,300,Highway,"Nashik, Maharashtra — Sector 38",active
1455,300,Residential,"Ludhiana, Punjab — Sector 37",active
1456,1000,Suburban,"Amritsar, Punjab — Sector 34",active
1457,750,Commercial,"Bhavnagar, Gujarat — Sector 23",active
1458,200,Rural,"Guntur, Andhra Pradesh — Sector 36",active
1459,500,Railway Station,"Aurangabad, Maharashtra — Sector 18",active
1460,500,Industrial,"Patiala, Punjab — Sector 42",active
1461,100,Highway,"Udaipur, Rajasthan — Sector 3",active
1462,500,Commercial,"Kolkata, West Bengal — Sector 12",active
1463,1000,Residential,"Meerut, Uttar Pradesh — Sector 50",inactive
1464,300,Residential,"Delhi, Delhi — Sector 7",active
1465,100,Suburban,"Hyderabad, Telangana — Sector 49",active
1466,200,Highway,"Siliguri, West Bengal — Sector 40",active
1467,500,Industrial,"Vadodara, Gujarat — Sector 12",active
1468,300,Residential,"Lucknow, Uttar Pradesh — Sector 41",active
1469,100,Industrial,"Ujjain, Madhya Pradesh — Sector 38",maintenance
1470,100,Airport,"Meerut, Uttar Pradesh — Sector 39",active
1471,1000,Industrial,"Aurangabad, Maharashtra — Sector 18",active
1472,100,Industrial,"Bhavnagar, Gujarat — Sector 23",active
1473,750,Railway Station,"Patiala, Punjab — Sector 9",active
1474,300,Urban,"Bikaner, Rajasthan — Sector 24",active
1475,1000,Commercial,"Mumbai, Maharashtra — Sector 37",active
1476,300,Residential,"Ajmer, Rajasthan — Sector 10",active
1477,750,Railway Station,"Ghaziabad, Uttar Pradesh — Sector 46",active
1478,200,Industrial,"Udaipur, Rajasthan — Sector 24",active
1479,100,Railway Station,"Jalandhar, Punjab — Sector 32",active
1480,300,Residential,"Chandigarh, Punjab — Sector 26",active
1481,300,Airport,"Vadodara, Gujarat — Sector 25",maintenance
1482,1000,Airport,"Rajkot, Gujarat — Sector 7",active
1483,300,Highway,"Thane, Maharashtra — Sector 46",active
